类型,页数,歌单标题,歌单链接,歌单封面,播放量,作者,gdid
华语,1,华语摇滚精选 | 经典不绝 摇滚不死,https://music.163.com/playlist?id=8481090202,http://p1.music.126.net/1wuQTXQmVBnV_7Bl4BfQKg==/109951168679666954.jpg?imageView=1&thumbnail=800y800&enlarge=1%7CimageView=1&watermark&type=1&image=b2JqL3c1bkRrTUtRd3JMRGpEekNtOE9tLzU2MDgyNzQwNTMwLzUzNjUvMjAyNDkyOTExNDQxNS94NzI4MTczMDE3MzQ1NTcxMy5wbmc=&dx=0&dy=0%7Cwatermark&type=1&image=b2JqL3dvbkRsc0tVd3JMQ2xHakNtOEt4LzI3NjEwNDk3MDYyL2VlOTMvOTIxYS82NjE4LzdhMDc5ZDg0NTYyMDAwZmVkZWJmMjVjYjE4NjhkOWEzLnBuZw==&dx=0&dy=0%7CimageView=1&thumbnail=140y140&?param=140y140,120000.0,云音乐经典专区,8481090202
华语,1,听陈奕迅热门精选,https://music.163.com/playlist?id=7662651829,http://p1.music.126.net/PCCR9Rh8TIzwgCjybVQTlQ==/109951170267308389.jpg?imageView=1&thumbnail=800y800&enlarge=1%7CimageView=1&watermark&type=1&image=b2JqL3c1bkRrTUtRd3JMRGpEekNtOE9tLzU3MDk5NjkzMDcxL2NmYzAvMjAyNDExMTYxMDUyMTkveDczMDE3MzQzMTc1MzkyNDgucG5n&dx=0&dy=0%7Cwatermark&type=1&image=b2JqL3dvbkRsc0tVd3JMQ2xHakNtOEt4LzI3NjEwNDk3MDYyL2VlOTMvOTIxYS82NjE4LzdhMDc5ZDg0NTYyMDAwZmVkZWJmMjVjYjE4NjhkOWEzLnBuZw==&dx=0&dy=0%7CimageView=1&thumbnail=140y140&?param=140y140,13550000.0,云音乐艺人精选,7662651829
华语,1,重返1997 | 杨乃文领衔带来1997年经典热曲,https://music.163.com/playlist?id=6957226907,http://p1.music.126.net/oD38hs07fK3renPrO5Lsyw==/109951168679362623.jpg?imageView=1&thumbnail=800y800&enlarge=1%7CimageView=1&watermark&type=1&image=b2JqL3c1bkRrTUtRd3JMRGpEekNtOE9tLzU2MTYyNjY5ODIxLzM4MDgvMjAyNDEwMTE1MzIzMC94MTM1MTczMDQ0NjM1MDc3Ni5wbmc=&dx=0&dy=0%7Cwatermark&type=1&image=b2JqL3dvbkRsc0tVd3JMQ2xHakNtOEt4LzI3NjEwNDk3MDYyL2VlOTMvOTIxYS82NjE4LzdhMDc5ZDg0NTYyMDAwZmVkZWJmMjVjYjE4NjhkOWEzLnBuZw==&dx=0&dy=0%7CimageView=1&thumbnail=140y140&?param=140y140,310000.0,云音乐经典专区,6957226907
华语,1,环球经典老歌 | 魅力无限环球音乐精选,https://music.163.com/playlist?id=8481131201,http://p1.music.126.net/PaqST_JbElGHRA_7PTe_yQ==/109951168717835623.jpg?imageView=1&thumbnail=800y800&enlarge=1%7CimageView=1&watermark&type=1&image=b2JqL3c1bkRrTUtRd3JMRGpEekNtOE9tLzU2MTYxODQ5MzU2Lzk4YjIvMjAyNDEwMTE0NDc3L3g0MzAxNzMwNDQzNjI3MTc3LnBuZw==&dx=0&dy=0%7Cwatermark&type=1&image=b2JqL3dvbkRsc0tVd3JMQ2xHakNtOEt4LzI3NjEwNDk3MDYyL2VlOTMvOTIxYS82NjE4LzdhMDc5ZDg0NTYyMDAwZmVkZWJmMjVjYjE4NjhkOWEzLnBuZw==&dx=0&dy=0%7CimageView=1&thumbnail=140y140&?param=140y140,140000.0,云音乐经典专区,8481131201
华语,1,国语流行 | 你一定听过的经典旋律,https://music.163.com/playlist?id=6847295283,http://p1.music.126.net/yzQFMKUzSR9QtHFCL1_Q5A==/109951168688987957.jpg?imageView=1&thumbnail=800y800&enlarge=1%7CimageView=1&watermark&type=1&image=b2JqL3c1bkRrTUtRd3JMRGpEekNtOE9tLzU3ODAwNDI0NjEzL2M4MGEvMjAyNTAyMjE1MzkxMi94OTMzMTczNzUzMTU1MjI4OC5wbmc=&dx=0&dy=0%7Cwatermark&type=1&image=b2JqL3dvbkRsc0tVd3JMQ2xHakNtOEt4LzI3NjEwNDk3MDYyL2VlOTMvOTIxYS82NjE4LzdhMDc5ZDg0NTYyMDAwZmVkZWJmMjVjYjE4NjhkOWEzLnBuZw==&dx=0&dy=0%7CimageView=1&thumbnail=140y140&?param=140y140,14700000.0,云音乐经典专区,6847295283
华语,1,"重返1990 | 草蜢,Beyond等经典尽在1990热曲重温",https://music.163.com/playlist?id=6957219650,http://p1.music.126.net/8Zgdw36wYM21j3Cp2TT7Ow==/109951168748610323.jpg?imageView=1&thumbnail=800y800&enlarge=1%7CimageView=1&watermark&type=1&image=b2JqL3c1bkRrTUtRd3JMRGpEekNtOE9tLzU2MjU4ODgzNDMyLzZhMTUvMjAyNDEwNTEwNjE0L3g1MzAxNzMwNzcyMzc0Mzk5LnBuZw==&dx=0&dy=0%7Cwatermark&type=1&image=b2JqL3dvbkRsc0tVd3JMQ2xHakNtOEt4LzI3NjEwNDk3MDYyL2VlOTMvOTIxYS82NjE4LzdhMDc5ZDg0NTYyMDAwZmVkZWJmMjVjYjE4NjhkOWEzLnBuZw==&dx=0&dy=0%7CimageView=1&thumbnail=140y140&?param=140y140,550000.0,云音乐经典专区,6957219650
华语,1,2010s华语R&B | 重回华语R&B新时代,https://music.163.com/playlist?id=8803637201,http://p1.music.126.net/Dabg9Cf-y_g4JgXkEqEXQw==/109951170406691874.jpg?imageView=1&thumbnail=800y800&enlarge=1%7CimageView=1&watermark&type=1&image=b2JqL3dvbkRsc0tVd3JMQ2xHakNtOEt4LzI3NjEwNDk3MDYyL2VlOTMvOTIxYS82NjE4LzdhMDc5ZDg0NTYyMDAwZmVkZWJmMjVjYjE4NjhkOWEzLnBuZw==&dx=0&dy=0%7CimageView=1&thumbnail=140y140&?param=140y140,1190000.0,云音乐官方歌单,8803637201
华语,1,华语爱恋银河 | 跨越星河来见你,https://music.163.com/playlist?id=7572518150,http://p1.music.126.net/SLYZgGAF2WMjMPMcdb8RjQ==/109951170473233354.jpg?imageView=1&thumbnail=800y800&enlarge=1%7CimageView=1&watermark&type=1&image=b2JqL3c1bkRrTUtRd3JMRGpEekNtOE9tLzU4MTk2NDI3MTMwL2YwMDEvMjAyNTExNDE3NTY1NS94MjU0MTczOTUyNzAxNTc3Ni5wbmc=&dx=0&dy=0%7Cwatermark&type=1&image=b2JqL3dvbkRsc0tVd3JMQ2xHakNtOEt4LzI3NjEwNDk3MDYyL2VlOTMvOTIxYS82NjE4LzdhMDc5ZDg0NTYyMDAwZmVkZWJmMjVjYjE4NjhkOWEzLnBuZw==&dx=0&dy=0%7CimageView=1&thumbnail=140y140&?param=140y140,3060000.0,云音乐官方歌单,7572518150
华语,1,"重返1992 | 重温金城武,张楚以及更多1992经典热曲",https://music.163.com/playlist?id=6957261848,http://p1.music.126.net/YN22WiipW_Eox5-eKfWPZQ==/109951168737156647.jpg?imageView=1&thumbnail=800y800&enlarge=1%7CimageView=1&watermark&type=1&image=b2JqL3c1bkRrTUtRd3JMRGpEekNtOE9tLzU2MTYyNzA1NDI1L2ViN2UvMjAyNDEwMTE1MzQyMy94Mjg4MTczMDQ0NjQ2MzI1My5wbmc=&dx=0&dy=0%7Cwatermark&type=1&image=b2JqL3dvbkRsc0tVd3JMQ2xHakNtOEt4LzI3NjEwNDk3MDYyL2VlOTMvOTIxYS82NjE4LzdhMDc5ZDg0NTYyMDAwZmVkZWJmMjVjYjE4NjhkOWEzLnBuZw==&dx=0&dy=0%7CimageView=1&thumbnail=140y140&?param=140y140,390000.0,云音乐经典专区,6957261848
华语,1,国语珍藏 | 给你一张过去的CD,https://music.163.com/playlist?id=6845897480,http://p1.music.126.net/AIe4GxZANX60qT9bfP6BJA==/109951170104280571.jpg?imageView=1&thumbnail=800y800&enlarge=1%7CimageView=1&watermark&type=1&image=b2JqL3c1bkRrTUtRd3JMRGpEekNtOE9tLzU3ODAwNDMzOTQyL2MzMTcvMjAyNTAyMjE1NDA0L3g2MjkxNzM3NTMxNjA0NTU0LnBuZw==&dx=0&dy=0%7Cwatermark&type=1&image=b2JqL3dvbkRsc0tVd3JMQ2xHakNtOEt4LzI3NjEwNDk3MDYyL2VlOTMvOTIxYS82NjE4LzdhMDc5ZDg0NTYyMDAwZmVkZWJmMjVjYjE4NjhkOWEzLnBuZw==&dx=0&dy=0%7CimageView=1&thumbnail=140y140&?param=140y140,26280000.0,云音乐经典专区,6845897480
