标题,歌曲id,所属歌单
花房姑娘,1962386325,8481090202
Don't Break My Heart,357263,8481090202
光辉岁月,346576,8481090202
蓝莲花,168091,8481090202
假行僧,1962385456,8481090202
无地自容,357279,8481090202
爱不爱我,363488,8481090202
像风一样自由,167880,8481090202
不再沉默,26598766,8481090202
快让我在雪地上撒点儿野,1962385459,8481090202
任我行,27483202,7662651829
四季,437802725,7662651829
夕阳无限好,66272,7662651829
完,64048,7662651829
Shall We Talk (Tre Lune MMXIX),1462659723,7662651829
于心有愧,64797,7662651829
沙龙,64833,7662651829
苦瓜,64293,7662651829
阿牛,66265,7662651829
不如不见,65769,7662651829
星星堆满天,316103,6957226907
人间,300062,6957226907
广岛之恋,277820,6957226907
Let It Rain,316107,6957226907
你快乐所以我快乐,300055,6957226907
明天,316117,6957226907
想和你去吹吹风,189212,6957226907
女人花,276269,6957226907
不知不觉,288199,6957226907
真的好想你,334940,6957226907
月亮代表我的心,473279227,8481131201
护花使者,115569,8481131201
处处吻,316686,8481131201
秋意浓,190473,8481131201
我变了 我没变,32098468,8481131201
当你老了,30621954,8481131201
认真的雪,169185,8481131201
半点心,349072,8481131201
只是太爱你,28111646,8481131201
阳光总在风雨后,307003,8481131201
暧昧,2133469738,6847295283
最熟悉的陌生人,307198,6847295283
至少还有你,256621,6847295283
鬼迷心窍,4878588,6847295283
打错了,299510,6847295283
好想好想,87111,6847295283
水手,190381,6847295283
刀马旦,255020,6847295283
美丽的神话Ⅰ,4875127,6847295283
百年孤寂,299650,6847295283
光辉岁月,347639,6957219650
失恋阵线联盟,349892,6957219650
爱上一个不回家的人,257585,6957219650
半点心,349981,6957219650
天若有情,347705,6957219650
恋曲1990,109198,6957219650
珍重,318527,6957219650
爱情的骗子我问你,221627,6957219650
对你爱不完,89805,6957219650
真的汉子,116496,6957219650
和你,420401511,8803637201
特别的人,28403111,8803637201
18,453463646,8803637201
别问很可怕,469998923,8803637201
呼吸决定,35678875,8803637201
Sleep Away,1317145671,8803637201
逃避没有不好,205356,8803637201
爱你爱到变成一首歌,543798481,8803637201
嫉妒,26348311,8803637201
4U,1304922104,8803637201
全部的所有,1868850860,7572518150
你（新版）,2138439049,7572518150
浪漫群岛,138794,7572518150
我跟你不只ENFP是LOVE,2671771499,7572518150
春心荡漾,368177,7572518150
美好的,306589,7572518150
躺在你怀里做一场梦,2606096103,7572518150
I Do,499793180,7572518150
拥抱,386542,7572518150
最后一次温柔,103629,6957261848
分手总要在雨天,190533,6957261848
雨季,114852,6957261848
容易受伤的女人,25769491,6957261848
La La Means I Love You,349753,6957261848
旧日的足迹,347537,6957261848
无声的雨,276732,6957261848
到哪里找那么好的人,213604,6957261848
原来的我(Live),143196,6957261848
雪夜,265426,6957261848
因为爱情,64317,6845897480
江南,26305527,6845897480
外滩十八号,369173,6845897480
盛夏的果实,277382,6845897480
那么骄傲,247864,6845897480
最美,390887,6845897480
单车恋人,92305,6845897480
相约一九九八,5272610,6845897480
修炼爱情,25727803,6845897480
流年,299445,6845897480
壁上观,2638631898,13084513642
轻舟,2139348158,13084513642
落 (花开花落日升日没),2136745697,13084513642
一生一念,2118161413,13084513642
奇迹,2117284275,13084513642
一生一瞬,2634533221,13084513642
来者何人也,2659972109,13084513642
浮生一白(电影《白蛇：浮生》主题曲 ),2610311039,13084513642
夜奔,2135118821,13084513642
免我蹉跎苦,2619965180,13084513642
橘子汽水,2042008909,8421612204
夏岛,1313354966,8421612204
爱上夏天 (落跑版),2005513443,8421612204
夏夜晚风,157263,8421612204
好天气,160063,8421612204
海盗,209917,8421612204
不期而遇的夏天,1869983814,8421612204
某年仲夏,256002,8421612204
一个人旅行,315927,8421612204
夏天的风,390892,8421612204
飞吧莱特,2082408488,8804731200
河北墨麒麟,1805290318,8804731200
酸,1958436029,8804731200
八,2046562201,8804731200
有船,2008275015,8804731200
缸,2046562196,8804731200
魅语,1958439855,8804731200
穿过夜晚,1946176575,8804731200
荒废的一天,2033879001,8804731200
身体与想象的距离,1929355347,8804731200
白桦林,28996926,8481098203
恋恋风尘,108119,8481098203
南山南,29436904,8481098203
父亲写的散文诗,417250673,8481098203
米店,26494698,8481098203
南方姑娘,202373,8481098203
贝加尔湖畔,109998,8481098203
那些花儿,28996922,8481098203
灰姑娘,186842,8481098203
安和桥,27646205,8481098203
在意这件事,1957783310,2920647537
完美谜底,2009066432,2920647537
小雨中,1974443812,2920647537
离开的借口,1338146062,2920647537
瞬间,34723529,2920647537
缓缓,1808065609,2920647537
度过此刻,1987366138,2920647537
人间指南,1806516145,2920647537
毫无逻辑,1910954561,2920647537
偏离,1425069319,2920647537
李白,27678655,8497873200
稳稳的幸福,25730757,8497873200
模特,27731176,8497873200
董小姐,27646198,8497873200
丑八怪,27808044,8497873200
